Date,Goal,Funds
2026-08-01 00:01:01-0500,5500,0
2026-08-01 01:01:02-0500,5500,0
2026-08-01 02:01:02-0500,5500,0
2026-08-01 03:01:02-0500,5500,0
2026-08-01 04:01:01-0500,5500,10
2026-08-01 05:01:02-0500,5500,43
2026-08-01 06:01:02-0500,5500,78
2026-08-01 07:01:01-0500,5500,94
2026-08-01 08:01:01-0500,5500,94
2026-08-01 09:01:02-0500,5500,104
2026-08-01 10:01:02-0500,5500,104
2026-08-01 11:01:02-0500,5500,104
2026-08-01 12:01:02-0500,5500,104
2026-08-01 13:01:02-0500,5500,104
2026-08-01 14:01:02-0500,5500,104
2026-08-01 15:01:02-0500,5500,109
2026-08-01 16:01:02-0500,5500,109
2026-08-01 17:01:02-0500,5500,109
2026-08-01 18:01:02-0500,5500,109
2026-08-01 19:01:02-0500,5500,109
2026-08-01 20:01:02-0500,5500,109
2026-08-01 21:01:01-0500,5500,109
2026-08-01 22:01:02-0500,5500,109
2026-08-01 23:01:02-0500,5500,109
2026-08-02 00:01:02-0500,5500,109
2026-08-02 01:01:02-0500,5500,109
2026-08-02 02:01:02-0500,5500,114
2026-08-02 03:01:02-0500,5500,114
2026-08-02 04:01:02-0500,5500,114
2026-08-02 05:01:02-0500,5500,201
2026-08-02 06:01:01-0500,5500,201
2026-08-02 07:01:02-0500,5500,201
2026-08-02 08:01:02-0500,5500,201
2026-08-02 09:01:02-0500,5500,201
2026-08-02 10:01:02-0500,5500,201
2026-08-02 11:01:02-0500,5500,201
2026-08-02 12:01:01-0500,5500,201
2026-08-02 13:01:02-0500,5500,201
2026-08-02 14:01:01-0500,5500,201
2026-08-02 15:01:02-0500,5500,201
2026-08-02 16:01:02-0500,5500,201
2026-08-02 17:01:02-0500,5500,201
2026-08-02 18:01:01-0500,5500,201
2026-08-02 19:01:02-0500,5500,206
2026-08-02 20:01:02-0500,5500,206
2026-08-02 21:01:01-0500,5500,206
2026-08-02 22:01:02-0500,5500,206
2026-08-02 23:01:02-0500,5500,206
2026-08-03 00:01:02-0500,5500,206
2026-08-03 01:01:01-0500,5500,206
2026-08-03 02:01:02-0500,5500,206
2026-08-03 03:01:02-0500,5500,206
2026-08-03 04:01:02-0500,5500,254
2026-08-03 05:01:01-0500,5500,287
2026-08-03 06:01:01-0500,5500,287
2026-08-03 07:01:02-0500,5500,287
2026-08-03 08:01:02-0500,5500,287
2026-08-03 09:01:02-0500,5500,287
2026-08-03 10:01:01-0500,5500,287
2026-08-03 11:01:01-0500,5500,287
2026-08-03 12:01:02-0500,5500,287
2026-08-03 13:01:02-0500,5500,287
2026-08-03 14:01:01-0500,5500,287
2026-08-03 15:01:01-0500,5500,287
2026-08-03 16:01:02-0500,5500,287
2026-08-03 17:01:02-0500,5500,287
2026-08-03 18:01:01-0500,5500,287
2026-08-03 19:01:01-0500,5500,287
2026-08-03 20:01:02-0500,5500,287
2026-08-03 21:01:01-0500,5500,287
2026-08-03 22:01:02-0500,5500,287
